Indicator,Taxonomic Level,"Matching EFG, Biome","Matching EFG, Biome (full name)",Notes,Ecoregions,pallete,Reference,Region
Calliergon giganteum,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Campylium stellatum,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex aquatilis,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex buxbaumii,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex cespitosa,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex flava,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex omskiana,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex panicea,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Cicuta virosa,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Comarum palustre,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
